timestamp,num_satellites,latitude,longitude,altitude,latitude_sigma,longitude_sigma,altitude_sigma,northing,easting,down,utm_zone
1424781175804725,6,51.760696,-1.261418,65.100564,8.711557,4.006224,11.946266,5735852.638799,619985.693265,-65.100564,30U
1424781176004799,6,51.760696,-1.261417,64.964086,8.714153,4.006979,11.947185,5735852.745566,619985.741406,-64.964086,30U
1424781176204766,6,51.760697,-1.261417,64.932935,8.714804,4.007191,11.947917,5735852.788079,619985.761570,-64.932935,30U
1424781176404793,6,51.760697,-1.261417,64.898753,8.710134,4.004468,11.944809,5735852.822413,619985.780683,-64.898753,30U
1424781176604743,6,51.760697,-1.261416,64.877355,8.710713,4.004517,11.945277,5735852.841760,619985.791908,-64.877355,30U
1424781176804813,6,51.760697,-1.261417,64.907445,8.711047,4.004465,11.945524,5735852.819535,619985.772866,-64.907445,30U
1424781177004844,6,51.760697,-1.261417,64.879652,8.710878,4.004217,11.945414,5735852.836225,619985.782598,-64.879652,30U
1424781177204838,6,51.760697,-1.261417,64.899042,8.711520,4.004507,11.947061,5735852.803083,619985.773217,-64.899042,30U
1424781177404760,6,51.760697,-1.261417,64.885956,8.712533,4.005067,11.948989,5735852.791816,619985.767418,-64.885956,30U
1424781177604821,6,51.760697,-1.261417,64.916494,8.716157,4.006765,11.951306,5735852.770902,619985.750355,-64.916494,30U
1424781177804913,6,51.760696,-1.261417,64.934947,8.716490,4.006713,11.951552,5735852.740425,619985.724506,-64.934947,30U
1424781178004899,6,51.760697,-1.261417,64.900338,8.710583,4.002618,11.944635,5735852.769497,619985.729905,-64.900338,30U
1424781178204895,6,51.760697,-1.261417,64.881786,8.710136,4.002182,11.944628,5735852.796656,619985.748841,-64.881786,30U
1424781178404960,6,51.760697,-1.261417,64.910707,8.713683,4.004083,11.947111,5735852.791762,619985.741947,-64.910707,30U
1424781178604872,6,51.760697,-1.261417,64.852207,8.714450,4.004433,11.948443,5735852.833412,619985.757394,-64.852207,30U
1424781178804836,6,51.760697,-1.261417,64.837497,8.714783,4.004380,11.948689,5735852.841824,619985.762277,-64.837497,30U
1424781179004857,6,51.760697,-1.261417,64.858404,8.713098,4.003041,11.947144,5735852.813519,619985.740584,-64.858404,30U
1424781179204743,6,51.760697,-1.261417,64.879316,8.712316,4.002396,11.945968,5735852.807858,619985.733448,-64.879316,30U
1424781179404907,6,51.760697,-1.261417,64.904210,8.711432,4.001523,11.945257,5735852.791964,619985.729064,-64.904210,30U
1424781179604841,6,51.760697,-1.261417,64.912400,8.710835,4.001165,11.945259,5735852.761690,619985.725688,-64.912400,30U
1424781179804874,6,51.760696,-1.261418,64.912408,8.711168,4.001113,11.945504,5735852.728674,619985.710734,-64.912408,30U
1424781180004788,6,51.760695,-1.261418,65.050355,8.713172,4.001948,11.947363,5735852.623537,619985.659899,-65.050355,30U
1424781180204760,6,51.760629,-1.261502,75.057329,20.223709,10.177145,20.429274,5735845.149607,619980.031228,-75.057329,30U
1424781180404813,6,51.760630,-1.261502,75.011323,20.221729,10.175844,20.427610,5735845.168141,619980.040256,-75.011323,30U
1424781180604914,6,51.760631,-1.261502,74.882785,20.220964,10.175199,20.427588,5735845.281663,619980.084549,-74.882785,30U
1424781180804899,6,51.760630,-1.261502,74.952951,20.219282,10.174001,20.426079,5735845.198233,619980.044496,-74.952951,30U
1424781181004799,6,51.760629,-1.261503,75.034893,20.218163,10.173044,20.425196,5735845.118631,619980.012798,-75.034893,30U
1424781181204777,6,51.760629,-1.261503,75.027537,20.214897,10.170958,20.421564,5735845.123050,619980.005729,-75.027537,30U
1424781181404736,6,51.760630,-1.261503,74.975743,20.211996,10.169283,20.418995,5735845.197346,619980.029722,-74.975743,30U
1424781181604679,6,51.760630,-1.261502,74.977703,20.210060,10.167934,20.417101,5735845.214179,619980.033893,-74.977703,30U
1424781181804964,6,51.760630,-1.261502,74.933282,20.208374,10.166735,20.415586,5735845.251174,619980.064755,-74.933282,30U
1424781182004685,6,51.760631,-1.261501,74.842387,20.207653,10.166051,20.415558,5735845.309342,619980.098369,-74.842387,30U
1424781182204969,6,51.760631,-1.261501,74.832450,20.207312,10.165456,20.415417,5735845.336535,619980.109049,-74.832450,30U
1424781182404804,6,51.760632,-1.261501,74.739665,20.205078,10.164121,20.413780,5735845.418849,619980.158466,-74.739665,30U
1424781182604705,6,51.760632,-1.261500,74.686562,20.204409,10.163306,20.413153,5735845.462044,619980.182525,-74.686562,30U
1424781182804709,6,51.760632,-1.261500,74.685706,20.202715,10.162103,20.411633,5735845.449377,619980.170865,-74.685706,30U
1424781183004870,6,51.760632,-1.261500,74.626200,20.201693,10.161059,20.410263,5735845.472329,619980.176993,-74.626200,30U
1424781183204995,6,51.760632,-1.261500,74.612325,20.198618,10.159071,20.406488,5735845.478170,619980.181389,-74.612325,30U
1424781183404747,6,51.760633,-1.261500,74.537607,20.197088,10.158144,20.405828,5735845.558020,619980.217016,-74.537607,30U
1424781183604558,6,51.760633,-1.261500,74.553431,20.194473,10.156590,20.403509,5735845.547593,619980.213869,-74.553431,30U
1424781183804834,6,51.760633,-1.261500,74.519897,20.192772,10.155383,20.401983,5735845.568363,619980.223358,-74.519897,30U
1424781184004608,6,51.760633,-1.261499,74.506006,20.187914,10.152190,20.395575,5735845.594830,619980.238725,-74.506006,30U
1424781184204864,6,51.760634,-1.261499,74.475407,20.186628,10.151264,20.394714,5735845.618882,619980.240833,-74.475407,30U
1424781184404565,6,51.760633,-1.261500,74.513841,20.186453,10.150795,20.394802,5735845.579246,619980.223076,-74.513841,30U
